27.67	27.95
40.59	31.14
31.68	32
16	11.52
18.95	14.21
14.95	10.17
24.7	20.06
19.5	16.66
123.84	106.25
17	13.26
31.63	29.95
116	88.09
27.67	18.45
24.7	16.47
126.67	97.38
53.9	47.51
89.73	74.93
171	132.77
152	121.5
124.8	108
16	11.67
25.95	18.94
18	12.24
21.73	21.95
40.59	31.14
28.95	28.95
19.95	16.15
49.45	37.75
41.09	31.78
50.95	32.97
44.5	30.87
82.45	85
34.6	34.95
88.42	97.95
84	81.18
11.25	9.5
15	10.2
180.03	134.69
174	143.75
188.58	176
146.75	150.63
183.75	145.4
214.5	173.56
197	131
194	157.68
176.25	137.17
24.7	24.95
188	159.28
29.7	23.07
26.24	21.04
55.13	42.68
43.56	39.37
129.6	85.2
123.84	93.13
85.12	67.4
152.48	132.79
29.7	24.31
24.7	24.95
89.71	85.45
10.5	10.08
92.88	65.73
100.88	84.26
11.95	8.6
72.47	58.42
92.1	80.37
78.35	64.09
42	37.04
18.75	20.21
48.46	39.34
39.55	26.37
29.65	24.19
23.76	18.72
27.7	18.22
32.65	
33.77	
48.99	
53.68	
97.56	
